,airline,airport,state,lat,lon
288192,OO,LMT,OR,42.15,-121.73
288212,CO,ITO,HI,19.72,-155.04
289661,OO,RDM,OR,44.25,-121.15
300519,AS,GST,AK,58.42,-135.7
304695,B6,ACK,MA,41.25,-70.06
308598,XE,DAY,OH,39.9,-84.21
313633,EV,MHT,NH,42.93,-71.43
328444,EV,HOB,NM,32.68,-103.21
340970,F9,PIE,FL,27.91,-82.68
355796,AS,YAK,AK,59.5,-139.66
371745,EV,BTV,VT,44.47,-73.15
371797,UA,BQN,PR,18.49,-67.12
374244,CO,MTJ,CO,38.5,-107.89
379692,US,ABE,PA,40.65,-75.44
389597,OO,HIB,MN,47.38,-92.83
389607,OO,BRD,MN,46.4,-94.13
390277,B6,MVY,MA,41.39,-70.61
407362,EV,HRL,TX,26.22,-97.65
408728,EV,BRO,TX,25.9,-97.42
414164,MQ,CLL,TX,30.58,-96.36
416172,MQ,ACT,TX,31.61,-97.23
416473,MQ,ABI,TX,32.41,-99.68
442692,OO,CPR,WY,42.9,-106.46
442911,UA,BIL,MT,45.8,-108.54
448692,OO,TWF,ID,42.48,-114.48
449879,OO,LWS,ID,46.37,-117.01
451508,B6,LGB,CA,33.81,-118.15
468744,B6,SWF,NY,41.5,-74.1
472599,OO,MSO,MT,46.91,-114.09
487971,EV,BTR,LA,30.53,-91.15
487991,EV,CHO,VA,38.13,-78.45
489292,EV,DAB,FL,29.18,-81.05
494368,OO,FAT,CA,36.77,-119.71
499508,OO,RAP,SD,44.04,-103.05
500405,OO,BTM,MT,45.95,-112.49
520466,OO,HLN,MT,46.6,-111.98
522050,DL,FAR,ND,46.92,-96.81
522560,OO,GTF,MT,47.48,-111.37
523163,OO,MOT,ND,48.25,-101.27
525449,MQ,FWA,IN,40.97,-85.19
533713,MQ,MOB,AL,30.69,-88.24
539022,MQ,FAY,NC,34.99,-78.88
572629,OO,SBA,CA,34.42,-119.84
577485,AS,KTN,AK,55.35,-131.71
592580,OO,CEC,CA,41.78,-124.23
607679,OO,ESC,MI,45.72,-87.09
609044,EV,MYR,SC,33.67,-78.92
610052,EV,ELM,NY,42.16,-76.89
620524,OO,SBP,CA,35.23,-120.64
625291,OO,FLG,AZ,35.14,-111.66
625338,YV,DRO,CO,37.15,-107.75
639633,MQ,SAF,NM,35.61,-106.08
678714,EV,GPT,MS,30.4,-89.07
683262,DL,MLB,FL,28.1,-80.64
719988,WN,CRP,TX,27.77,-97.5
724333,EV,GTR,MS,33.45,-88.59
735697,OO,COD,WY,44.52,-109.02
757015,EV,BGM,NY,42.2,-75.97
757016,EV,BGR,ME,44.8,-68.82
764857,OO,MFR,OR,42.37,-122.87
766007,OO,MOD,CA,37.62,-120.95
768872,OO,PSC,WA,46.26,-119.11
770736,EV,VLD,GA,30.78,-83.27
778230,DL,TLH,FL,30.39,-84.35
781009,WN,LBB,TX,33.66,-101.82
814278,WN,AMA,TX,35.21,-101.7
820575,MQ,TOL,OH,41.58,-83.8
820944,OO,SPI,IL,39.84,-89.67
821381,MQ,SUX,IA,42.4,-96.38
821820,EV,AVP,PA,41.33,-75.72
884603,OO,ACV,CA,40.97,-124.1
905084,OO,IMT,MI,45.81,-88.11
913630,MQ,ALO,IA,42.55,-92.4
921531,AS,PSG,AK,56.8,-132.94
921791,AS,SIT,AK,57.04,-135.36
946280,OO,RDD,CA,40.5,-122.29
980669,B6,PSE,PR,18.0,-66.56
993806,OO,INL,MN,48.56,-93.4
996976,UA,GUM,TT,13.48,-144.79
1022990,MQ,LAW,OK,34.56,-98.41
1026264,MQ,MHK,KS,39.14,-96.67
1040409,EV,MEI,MS,32.33,-88.75
1040626,EV,MFE,TX,26.17,-98.23
1063990,OO,EKO,NV,40.82,-115.79
1135684,MQ,SPS,TX,33.98,-98.49
1136006,MQ,TXK,AR,33.45,-93.99
1140628,MQ,AEX,LA,31.32,-92.54
1168608,EV,COU,MO,38.81,-92.21
1172576,EV,CSG,GA,32.51,-84.93
1191507,OO,CWA,WI,44.77,-89.66
1199811,AS,OME,AK,64.51,-165.44
1227826,MQ,GGG,TX,32.38,-94.71
1234244,MQ,CYS,WY,41.15,-104.81
1250134,OO,MKG,MI,43.16,-86.23
1260722,EV,TYR,TX,32.35,-95.4
1270517,OO,BJI,MN,47.51,-94.93
1293337,OO,LAR,WY,41.31,-105.67
1296531,F9,RFD,IL,42.19,-89.09
1310735,MQ,SJT,TX,31.35,-100.49
1313414,MQ,ROW,NM,33.3,-104.53
1361237,MQ,GRI,NE,40.96,-98.3
